,utc-dt,mmsi,sog,cog,true_heading,delta
123,2021-06-01 15:29:16,257048880,11.5,306.5,315,8.5
125,2021-06-01 15:29:16,212115000,9.300000190734863,14.800000190734863,18,3.1999998092651367
128,2021-06-01 15:29:17,244710324,9.0,104.3000030517578,103,-1.3000030517577983
129,2021-06-01 15:29:17,244287000,25.0,43.0,36,-7.0
130,2021-06-01 15:29:17,249040000,8.399999618530273,62.0,72,10.0
131,2021-06-01 15:29:17,357314000,12.600000381469728,290.0,292,2.0
132,2021-06-01 15:29:17,244690814,0.2000000029802322,196.3000030517578,310,113.69999694824219
134,2021-06-01 15:29:18,244120000,10.699999809265137,245.3999938964844,246,0.6000061035155966
137,2021-06-01 15:29:18,249522000,9.5,42.0,42,0.0
139,2021-06-01 15:29:19,244030516,4.699999809265137,109.6999969482422,106,-3.6999969482422017
140,2021-06-01 15:29:19,636017857,8.5,115.1999969482422,114,-1.1999969482422017
141,2021-06-01 15:29:19,304642000,16.700000762939453,291.0,297,6.0
142,2021-06-01 15:29:19,305149000,5.5,111.9000015258789,112,0.09999847412109375
143,2021-06-01 15:29:19,244287000,25.100000381469727,37.0,35,-2.0
146,2021-06-01 15:29:19,248753000,9.199999809265137,118.0999984741211,117,-1.0999984741210938
147,2021-06-01 15:29:19,314416000,11.699999809265137,298.1000061035156,299,0.899993896484375
149,2021-06-01 15:29:20,245617000,8.199999809265137,14.5,13,-1.5
151,2021-06-01 15:29:21,244287000,25.299999237060547,33.0,33,0.0
153,2021-06-01 15:29:21,212733000,0.1000000014901161,208.0,261,53.0
156,2021-06-01 15:29:22,255805899,0.1000000014901161,321.79998779296875,64,-257.79998779296875
157,2021-06-01 15:29:22,244100907,0.2000000029802322,1.0,326,325.0
159,2021-06-01 15:29:23,211734040,12.399999618530272,302.8999938964844,303,0.100006103515625
160,2021-06-01 15:29:23,244030516,4.699999809265137,108.5999984741211,105,-3.5999984741210938
161,2021-06-01 15:29:23,244287000,25.5,31.0,32,1.0
162,2021-06-01 15:29:23,250005693,7.099999904632568,126.0,126,0.0
165,2021-06-01 15:29:23,431792000,0.2000000029802322,181.8000030517578,259,77.19999694824219
167,2021-06-01 15:29:24,245209000,3.299999952316284,107.1999969482422,105,-2.1999969482422017
172,2021-06-01 15:29:25,249040000,8.300000190734863,72.0,79,7.0
173,2021-06-01 15:29:25,245232000,0.1000000014901161,271.3999938964844,11,-260.3999938964844
174,2021-06-01 15:29:25,304642000,16.799999237060547,292.0,299,7.0
175,2021-06-01 15:29:25,244287000,25.600000381469727,28.0,32,4.0
176,2021-06-01 15:29:26,249689000,11.899999618530272,298.0,298,0.0
177,2021-06-01 15:29:26,244030516,4.699999809265137,107.9000015258789,105,-2.9000015258789062
